"id_business","id_employee","method","invite_date","connection_date"
210316,65980362,manual,2021-10-26 16:33:32,2021-10-26 16:33:32
196976,64043081,invite,2021-03-16 15:57:21,2021-03-16 16:24:48
195140,71014288,invite,2021-06-28 12:28:11,2022-01-13 12:17:47
220586,71242529,manual,2022-02-08 12:53:04,2022-02-08 12:53:04
223364,72640874,manual,2022-03-14 15:37:56,2022-03-14 15:37:56
223421,72662317,invite,2022-03-15 11:18:28,2022-03-15 11:33:34
200469,63950639,manual,2021-04-29 08:28:12,2021-04-29 08:28:12
214296,66523014,manual,2021-11-17 19:54:22,2021-11-17 19:54:22
223718,72763022,invite,2022-03-18 10:20:31,2022-03-18 10:28:11
228595,74561134,manual,2022-05-04 13:51:30,2022-05-04 13:51:30
194995,63662706,manual,2021-02-07 08:17:03,2021-02-07 08:17:03
195016,63671441,manual,2021-02-07 23:39:19,2021-02-07 23:39:19
215511,69887945,manual,2021-12-02 16:03:46,2021-12-02 16:03:46
202897,66746408,invite,2021-08-20 08:39:11,2021-08-20 10:00:42
210316,65980362,manual,2021-10-28 14:55:27,2021-10-28 14:55:27
210316,71831005,invite,2022-02-18 08:56:24,2022-02-18 10:08:56
211075,69908288,invite,2021-11-02 16:40:32,2021-12-03 10:21:34
205126,63828648,manual,2021-07-16 08:21:03,2021-07-16 08:21:03
216212,70124882,invite,2021-12-10 13:30:41,2021-12-10 14:46:43
63321,70971801,invite,2022-01-10 10:29:16,2022-01-10 10:40:17
196299,63902492,manual,2021-03-01 20:30:26,2021-03-01 20:30:26
80386,71031738,invite,2022-01-14 13:17:00,2022-01-14 14:59:19
221617,72925800,invite,2022-03-22 15:31:06,2022-03-22 16:32:44
203505,65979907,invite,2021-07-19 10:19:31,2021-07-19 10:20:53
196072,63910477,invite,2021-03-02 10:54:13,2021-03-02 18:42:47
206706,67261617,manual,2021-09-09 14:25:08,2021-09-09 14:25:08
141564,73345299,invite,2022-04-01 18:23:54,2022-04-04 08:48:57
202659,70231024,invite,2022-01-04 11:53:12,2022-01-11 08:22:02
202532,70867257,invite,2022-01-03 18:59:00,2022-01-04 08:14:26
63321,70868960,invite,2022-01-04 09:34:22,2022-01-04 10:31:05
194662,63608336,manual,2021-02-01 13:42:52,2021-02-01 13:42:52
196111,56461230,manual,2021-02-26 10:46:51,2021-02-26 10:46:51
195140,64230839,invite,2021-04-07 08:21:38,2021-04-07 08:27:05
195140,66151716,invite,2021-06-28 12:28:11,2021-07-26 11:02:38
195140,71015379,invite,2022-01-13 07:07:31,2022-01-13 14:04:23
227836,62307611,invite,2022-05-02 10:27:38,2022-05-02 11:19:53
227836,62430952,invite,2022-05-02 10:17:55,2022-05-02 11:21:29
195140,64230839,manual,2022-02-11 08:34:59,2022-02-11 08:34:59
